layer,pair_index,left_index,right_index,dot,cosine,left_norm,right_norm,metric_variant,left_sample_index,right_sample_index,left_example_id,right_example_id,left_sequence_index,right_sequence_index,left_hidden_pos,right_hidden_pos,left_label_pos,right_label_pos,left_input_token_id,right_input_token_id,left_label_token_id,right_label_token_id,left_input_token_str,right_input_token_str,left_label_token_str,right_label_token_str,left_hidden_attention_mask,right_hidden_attention_mask,left_label_attention_mask,right_label_attention_mask,left_domain,right_domain
24,30,25,74,-2471.9296875,-0.30181676149368286,97.92015075683594,83.64128112792969,centered,0,1,,,0,0,80,63,81,64,13,16,198,17,.,1,"
",2,1,1,1,1,,
24,31,25,109,-2358.368896484375,-0.2674850821495056,97.92015075683594,90.04095458984375,centered,0,1,,,0,0,80,98,81,99,13,2362,198,15,.,<<,"
",0,1,1,1,1,,
24,32,28,34,-764.7089233398438,-0.059988707304000854,139.84173583984375,91.1569595336914,centered,0,0,,,0,0,83,89,84,90,4073,10,667,17,atal,+,ia,2,1,1,1,1,,
24,33,29,49,4378.89599609375,0.34627440571784973,111.6176986694336,113.29512023925781,centered,0,0,,,0,0,84,104,85,105,667,17,5898,25277,ia,2, sold, clips,1,1,1,1,,
24,34,29,99,-1626.02783203125,-0.15889978408813477,111.6176986694336,91.67936706542969,centered,0,1,,,0,0,84,88,85,89,667,220,5898,15,ia, , sold,0,1,1,1,1,,
24,35,31,36,366.4557800292969,0.04824109748005867,91.035888671875,83.44335174560547,centered,0,0,,,0,0,86,91,87,92,220,19,19,283, ,4,4, =,1,1,1,1,,
24,36,32,53,-160.2833709716797,-0.01791185885667801,95.8499984741211,93.35890197753906,centered,0,0,,,0,0,87,108,88,109,19,5632,23,321,4, April,8, and,1,1,1,1,,
24,37,32,123,-1736.55029296875,-0.17519016563892365,95.8499984741211,103.41547393798828,centered,0,1,,,0,0,87,112,88,113,19,198,23,794,4,"
",8,####,1,1,1,1,,
24,38,35,88,-1658.313720703125,-0.23030300438404083,80.68463134765625,89.24343872070312,centered,0,1,,,0,0,90,77,91,78,17,9104,19,13,2, minute,4,.,1,1,1,1,,
24,39,35,125,-1092.4805908203125,-0.13605698943138123,80.68463134765625,99.5180892944336,centered,0,1,,,0,0,90,114,91,115,17,220,19,16,2, ,4,1,1,1,1,1,,
24,40,36,38,-747.36376953125,-0.08981769531965256,83.44335174560547,99.71910858154297,centered,0,0,,,0,0,91,93,92,94,19,1079,283,19,4, <<, =,4,1,1,1,1,,
24,41,36,111,-1693.9390869140625,-0.20622113347053528,83.44335174560547,98.4402847290039,centered,0,1,,,0,0,91,100,92,101,19,13,283,17,4,., =,2,1,1,1,1,,
24,42,37,85,-291.37677001953125,-0.03580988943576813,86.73313903808594,93.81383514404297,centered,0,1,,,0,0,92,74,93,75,283,13,1079,17, =,., <<,2,1,1,1,1,,
24,43,38,88,-1880.5855712890625,-0.21131892502307892,99.71910858154297,89.24343872070312,centered,0,1,,,0,0,93,77,94,78,1079,9104,19,13, <<, minute,4,.,1,1,1,1,,
24,44,39,55,-854.2180786132812,-0.09971486032009125,99.07396697998047,86.46678924560547,centered,0,0,,,0,0,94,110,95,111,19,3114,23,13,4, May,8,.,1,1,1,1,,
